dup_id,dup_name,dup_src,dup_works,dup_events,dup_curated,dup_q,canon_id,canon_name,canon_src,canon_works,canon_curated,canon_q,inter_rel,conf
mi-rong,羋戎,shiji-kb,0,0,0,23,hua-yang-jun,华阳君,shiji-kb,0,0,36,,MED
zhuo-shi,卓氏,shiji-kb,0,0,0,19,zhuo-wang-sun,卓王孙,shiji-kb,0,0,43,,MED
zi-rong,子容,shiji-kb,0,0,0,23,nan-gong-kuo,南宫括,shiji-kb,0,0,38,,MED
nan-yue-ming-wang,南越明王,shiji-kb,0,0,0,20,ying-qi,婴齐,shiji-kb,0,0,33,,MED
zi-xia,子夏,shiji-kb,0,0,0,38,bo-shang,卜商,shiji-kb,0,0,46,,MED
bo-zi-xia,卜子夏,shiji-kb,0,0,0,19,bo-shang,卜商,shiji-kb,0,0,46,,MED
tai-zi-ji,太子伋,shiji-kb,0,0,0,35,wei-tai-zi-ji,卫太子伋,shiji-kb,0,0,41,,MED
wei-huang-hou,卫皇后,shiji-kb,0,0,0,24,wei-zi-fu,卫子夫,shiji-kb,0,0,43,,MED
zi-fu-3,子夫,shiji-kb,0,0,0,24,wei-zi-fu,卫子夫,shiji-kb,0,0,43,,MED
kang-shu,康叔,shiji-kb,0,0,0,38,wei-kang-shu,卫康叔,shiji-kb,0,0,47,,MED
zhen-bo,贞伯,shiji-kb,0,0,0,20,wei-zhen-bo,卫贞伯,shiji-kb,0,0,29,,MED
wei-jiang-jun,卫将军,shiji-kb,0,0,0,20,author_25303,卫青,json,1,1,,,HIGH
bo-niu,伯牛,shiji-kb,0,0,0,19,ya-bo-niu,厓伯牛,shiji-kb,0,0,35,,MED
ya-geng,厓耕,shiji-kb,0,0,0,22,ya-bo-niu,厓伯牛,shiji-kb,0,0,35,,MED
zhao-gong,召公,shiji-kb,0,0,0,39,zhao-gong-shi,召公奭,shiji-kb,0,0,46,,MED
zhao-gong,召公,shiji-kb,0,0,0,39,yan-zhao-gong,燕召公,shiji-kb,0,0,45,,MED
zhao-kang-gong,召康公,shiji-kb,0,0,0,20,zhao-gong-shi,召公奭,shiji-kb,0,0,46,,MED
shen-zhu-liang,沈诸梁,shiji-kb,0,0,0,23,ye-gong,叶公,shiji-kb,0,0,33,,MED
si-ma-zhang-qing,司马长卿,shiji-kb,0,0,0,23,simaxiangru,司马相如,json,3,1,,,HIGH
zhang-qing,长卿,shiji-kb,0,0,0,20,simaxiangru,司马相如,json,3,1,,,HIGH
quan-zi,犬子,shiji-kb,0,0,0,25,simaxiangru,司马相如,json,3,1,,,HIGH
rang-ju,穰苴,shiji-kb,0,0,0,23,si-ma-rang-ju,司马穰苴,shiji-kb,0,0,46,,MED
si-ma-tan,司马谈,shiji-kb,0,0,0,39,tai-shi-gong,太史公,shiji-kb,0,0,40,,MED
tai-shi-gong,太史公,shiji-kb,0,0,0,40,simaqian,司马迁,json,1,1,,,HIGH
zi-zhang-2,子长,shiji-kb,0,0,0,23,simaqian,司马迁,json,1,1,,,HIGH
tai-gong-wang,太公望,shiji-kb,0,0,0,43,lv-shang,吕尚,shiji-kb,0,0,48,,MED
zhou-lv-hou,周吕侯,shiji-kb,0,0,0,23,lv-ze,吕泽,shiji-kb,0,0,36,,MED
tai-bo,太伯,shiji-kb,0,0,0,39,wu-tai-bo,吴太伯,shiji-kb,0,0,46,,MED
wushu3,吴叔,json,1,0,1,,wuguang2,吴广,json,1,1,,,LOW
wu-wang-liu-bi,吴王刘濞,shiji-kb,0,0,0,41,liu-bi,刘濞,shiji-kb,0,0,47,,MED
wu-wang-bi,吴王濞,shiji-kb,0,0,0,39,wu-wang-liu-bi,吴王刘濞,shiji-kb,0,0,41,,MED
shou-meng,寿梦,shiji-kb,0,0,0,24,wu-wang-shou-meng,吴王寿梦,shiji-kb,0,0,31,,MED
wu-wang-bi,吴王濞,shiji-kb,0,0,0,39,liu-bi,刘濞,shiji-kb,0,0,47,,MED
gong-zi-guang,公子光,shiji-kb,0,0,0,39,wu-wang-he-lv,吴王阖闾,shiji-kb,0,0,47,,MED
he-lv,阖闾,shiji-kb,0,0,0,30,wu-wang-he-lv,吴王阖闾,shiji-kb,0,0,47,,MED
ji-he-lu,姬阖庐,shiji-kb,0,0,0,22,wu-wang-he-lv,吴王阖闾,shiji-kb,0,0,47,,MED
po-jun,鄱君,shiji-kb,0,0,0,21,wu-rui,吴芮,shiji-kb,0,0,36,,MED
wu-rui,吴芮,shiji-kb,0,0,0,36,heng-shan-wang,衡山王,shiji-kb,0,0,46,,MED
chang-sha-wang,长沙王,shiji-kb,0,0,0,22,wu-rui,吴芮,shiji-kb,0,0,36,,MED
tiao-hou,条侯,shiji-kb,0,0,0,24,zhou-ya-fu,周亚夫,shiji-kb,0,0,47,,MED
jiang-hou,绛侯,shiji-kb,0,0,0,24,zhou-bo,周勃,shiji-kb,0,0,48,,MED
li-wang-hu,厉王胡,shiji-kb,0,0,0,20,zhou-li-wang,周厉王,shiji-kb,0,0,48,,MED
gu-gong-dan-fu,古公亶父,shiji-kb,0,0,0,25,zhou-tai-wang,周太王,shiji-kb,0,0,44,,MED
tai-wang,太王,shiji-kb,0,0,0,27,zhou-tai-wang,周太王,shiji-kb,0,0,44,,MED
gu-gong,古公,shiji-kb,0,0,0,21,zhou-tai-wang,周太王,shiji-kb,0,0,44,,MED
zhou-ding-gong,周定公,shiji-kb,0,0,0,28,zhou-gong,周公,shiji-kb,0,0,43,,MED
zhou-zi,周子,shiji-kb,0,0,0,22,zhouchang2,周昌,json,1,1,,,HIGH
tang-mei,唐昧,shiji-kb,0,0,0,22,tang-mei-2,唐眛,shiji-kb,0,0,39,,MED
cheng-tang,成汤,shiji-kb,0,0,0,24,shang-tang,商汤,shiji-kb,0,0,38,,MED
zi-mu,子木,shiji-kb,0,0,0,22,shang-qu,商瞿,shiji-kb,0,0,31,,MED
di-zhou,帝纣,shiji-kb,0,0,0,28,shang-zhou-wang,商纣王,shiji-kb,0,0,39,,MED
nang-wa,囊瓦,shiji-kb,0,0,0,33,zi-chang,子常,shiji-kb,0,0,34,,MED
cheng-yang-dai-wang,城阳戴王,shiji-kb,0,0,0,28,liu-hui,刘恢,shiji-kb,0,0,32,,MED
mo-di,墨翟,shiji-kb,0,0,0,28,author_25284,墨子,json,1,1,,,HIGH
xia-hou-di-qi,夏后帝启,shiji-kb,0,0,0,36,qi,启,shiji-kb,0,0,39,,MED
ye-lang-hou---ye-lang-wang,夜郎侯（夜郎王）,shiji-kb,0,0,0,22,duo-tong,多同,shiji-kb,0,0,31,,MED
qi-tai-gong,齐太公,shiji-kb,0,0,0,22,tai-gong-wang,太公望,shiji-kb,0,0,43,,MED
yan-tai-zi,燕太子,shiji-kb,0,0,0,20,tai-zi-dan,太子丹,shiji-kb,0,0,46,,MED
e-bo,阏伯,shiji-kb,0,0,0,19,qi-2,契,shiji-kb,0,0,39,,MED
gou-jian,勾践,shiji-kb,0,0,0,44,si-ju-jian,姒句践,shiji-kb,0,0,48,,MED
wu-wang-liao,吴王僚,shiji-kb,0,0,0,36,ji-liao,姬僚,shiji-kb,0,0,45,,MED
yan-wang-kuai,燕王哙,shiji-kb,0,0,0,31,ji-kuai,姬哙,shiji-kb,0,0,35,,MED
zhou-gong,周公,shiji-kb,0,0,0,43,ji-dan,姬旦,shiji-kb,0,0,49,,MED
